,source,freq,statement,veracity,length
308,Joyce Mauk,1,"""One in 10 babies born in this country is born in Texas.""",True,57
309,Andrew Gillum,1,"""Under his leadership, Tallahassee reduced its carbon intensity by roughly 40 percent.""",False,87
314,AsAmericanAsApplePie.org,3,"""Jason Aldean gig canceled after he sells out to liberals on ‘SNL’.""",Pants on Fire!,68
316,Bruce Rauner,2,"""I personally am pro-choice. I always have been. And I made no qualms about that when I was elected governor.""",True,110
337,Sarah  Huckabee Sanders,2,"""I think if you look to Chicago, where you had over 4,000 victims of gun-related crimes last year, they have the strictest gun laws in the country. That certainly hasn’t helped there.""",Pants on Fire!,184
362,Feministing,1,"""Missouri Votes to Let Employers Fire People Who Use Birth Control.""",Pants on Fire!,68
373,Luther Strange,1,"""Roy Moore fought for pay increases for politicians while courts had to shut down because of lack of funding.""",False,110
380,Kevin Nicholson,1,"""Ronald Reagan was a verified Democrat until his mid-50s.""",True,58
391,NYDailyNews-TV.com,1,"""U.S. comedian Kevin Hart in critical condition after gory car crash.""",Pants on Fire!,70
399,Young Conservatives,1,"""Mass voter fraud just discovered, to the amount that could void Hillary’s victory In New Hampshire.""",False,101
400,Kris Kobach,1,"""Facts have come to light that indicate that a pivotal, close election was likely changed through voter fraud on November 8, 2016: New Hampshire’s U.S. Senate Seat, and perhaps also New Hampshire’s four Electoral College votes in the presidential election.""",False,257
417,Karen Handel,3,"""The Affordable Care Act is the single largest tax increase in my lifetime.""",False,76
418,Eric Schneiderman,2,"""No court has held (Deferred Action for Childhood Arrivals) unconstitutional.""",True,78
426,Babylon Bee,1,"""ISIS Lays Down Arms After Katy Perry’s Impassioned Plea To ‘Like, Just Co-Exist’""",Pants on Fire!,82
440,Bruce Rauner,2,"""My grandparents were proud immigrants to the United States of America, here to Illinois in the late 1800s. My grandparents did not speak English when they were young.""",Pants on Fire!,168
444,Martina White,1,"""It is shocking to me that Police Commissioner Richard Ross and Mayor Jim Kenney allowed this illegal occupation to go on for hours without taking any action to enforce the law…""",False,178
449,HoustonChronicle-tv.com,2,"""Floyd Mayweather Jr. donates a whopping sum of money to Houston after hurricane.""",Pants on Fire!,82
456,Adam Schiff,1,"""I think what the authors of the (25th) Amendment principally had in mind was some kind of physical incapacitation or serious mental illness or a breakdown, an inability to function in office.""",True,193
460,OurLandOfTheFree.com,1,"""President (Donald) Trump pardons Kim Davis.""",Pants on Fire!,45
463,Betty Jean Grant,1,"""I'm the only candidate who has not accepted money from Carl Paladino nor LPCiminelli; two of the biggest developers in the city of Buffalo.""",True,141
489,Tucker Carlson,2,"""The United States ended slavery around the world, and maybe we should get some credit for that, too.""",Pants on Fire!,102
493,Roy Moore,1,"""There are communities under Sharia law right now in our country. Up in Illinois. ... There’s Sharia law, as I understand it, in Illinois, Indiana -- up there. I don't know.""",Pants on Fire!,174
501,PuppetStringNews.com,3,"""Charlottesville car attacker is anti-Trump Antifa supporter.""",Pants on Fire!,62
502,PuppetStringNews.com,3,"""Virginia police arrest wrong person to cover for Antifa member who ran over protesters.""",Pants on Fire!,89
506,Rearfront.com,1,"""Dwayne 'The Rock' (Johnson) Has Officially Filed For The 2020 Presidential Campaign""",False,85
510,Sebastian Gorka,1,"""There's no such thing as a lone wolf. ... That was a phrase invented by the last administration to make Americans stupid.""",Pants on Fire!,123
516,Kamala Harris,1,"""It costs us about $33,000 a year (on average nationally) to lock somebody up. In California it costs about $75,000 a year.""",True,124
554,Anthony Scaramucci,1,"""In light of the leak of my financial disclosure info which is a felony I will be contacting @FBI and the @TheJusticeDept""",False,122
578,Eric Schneiderman,2,"""We have been able to cut New York’s uninsured rate in half since 2013 from 10 percent to 5 percent of our population.""",True,119
580,Kevin McCarthy,2,"""More people, almost twice as many, pay the penalty or take the waiver than signed up for (Obamacare).""",False,103
581,John Faso,1,"""We now have about one-third of New York’s population on Medicaid.""",True,67
591,Evan Smith,1,"""The last majority-Anglo high school class in Texas graduated in 2014.""",False,71
600,FreedomCrossroads.us,2,"""Malia Obama Fired From Cushy Internship At Spanish Embassy""",Pants on Fire!,60
602,HalfwayPost.com,1,"""White House chef quits because Trump has only eaten fast food for 6 months.""",Pants on Fire!,77
607,Stacey Evans,1,"""I helped win one of the biggest private lawsuits against Medicare fraud in history. The government declined to pursue the case, so my firm did, and we recovered $324 million for taxpayers.""",True,190
634,Gwen Moore,2,"""There are so many data that demonstrate that poor people, surprisingly, are less likely to use drugs than people with means.""",False,126
640,StGeorgeGazette.com,1,"""Donald Trump plans to step down as President of the United States and resign from office within the next 30 days.""",Pants on Fire!,115
641,Sarah  Huckabee Sanders,2,"""The president in no way, form or fashion has ever promoted or encouraged violence.""",False,84
660,Snoopack.com,1,"""Trey Gowdy is the new director of the FBI!""",Pants on Fire!,44
676,Mark Pocan,3,"""Seven years later, (Scott Walker) has not hit his first campaign promise of creating 250,000 jobs.""",True,100
681,AntiNews.in,2,"""Chinese lunar rover finds no evidence of American moon landings.""",Pants on Fire!,66
685,Gus Bilirakis,1,"""A study by the National Economics Research Association showed that the (Paris climate) deal could cost 2.7 million lost jobs in the U.S. by 2025 should our country adhere to the commitments made by the Obama Administration.""",False,225
690,TheMiamiGazette.com,1,"""Cannibals arrested in Florida claim eating human flesh cures diabetes and depression""",Pants on Fire!,86
693,FreedomCrossroads.us,2,"""Nancy Pelosi suffers breakdown, taken from Capitol Hill on a stretcher.""",Pants on Fire!,73
694,Principled PAC,1,"""The same unhinged leftists cheering last week's shooting are all backing Jon Ossoff.""",Pants on Fire!,86
699,Ivanka Trump,1,"""There are currently 6 million jobs available in this country that are due in part to the skills gap.""",True,102
702,TeddyStick.com,1,"""Democrat Maxine Waters has shown up to only 10 percent of congressional meetings for 35 years.""",Pants on Fire!,96
712,Rafael Anchia,1,"""How many federal rulings have NOW found intentional discrimination by #Txlege since 2011? 6.""",True,94
719,AntiNews.in,2,"""Edward Snowden: Osama bin Laden is still alive living in the Bahamas.""",Pants on Fire!,71
725,Greg Gutfeld,1,"""Every single year that there's an increase (in temperature) it's within the margin of error -- meaning it isn't increasing.""",Pants on Fire!,125
727,Jesse Kremer,1,"""The Earth is 6,000 years old, that’s a fact.""",False,46
729,Vet TV,1,"""Trump Removing Marines From the Navy.""",Pants on Fire!,39
734,David Lewis,1,"""The waiting list for Pre-K is over in the House budget.""",True,57
735,Uspoln Website,2,"""Trump’s Top Scientist Pick: ‘Scientists Are Just Dumb Regular People That Think Dinosaurs Existed And The Earth Is Getting Warmer’""",Pants on Fire!,132
744,Anthony Brindisi,1,"""State economic development dollars were used to support a project where goods were manufactured in China.""",False,107
745,Ann Hudspeth,1,"""Texas leads the country in animal deaths by sodium cyanide M-44s.""",True,67
751,Uspoln Website,2,"""Rubio: ‘Rape victims should be in custody if there is suspicion that they’re planning abortion.’ """,Pants on Fire!,99
756,John Kelly,1,"""Many of the countries in question (in Trump’s travel ban) don't even have a U.S. embassy there to help us vet.""",True,112
765,PatriotCrier.com,1,"""(James) Comey knew murdered DNC staffer, Seth Rich, was WikiLeaks source & covered it up for Hillary (Clinton).""",Pants on Fire!,113
766,Congressional  Leadership Fund,1,"""Bay Area liberals have given more to Jon Ossoff's campaign than people in Georgia.""",False,84
776,Thom Tillis,1,"""Last year was one of the deadliest years ever for law enforcement officers.""",False,77
777,TheRedShtick.com,1,"""Donald Trump praises Colonel Sanders for his service in the Civil War.""",Pants on Fire!,72
793,TDAlliance.com,1,"""Jefferson Davis statue to be replaced with Obama likeness.""",Pants on Fire!,60
809,Glenn Grothman,3,"""Planned Parenthood is the biggest abortion provider in the country.""",True,69
830,Starbucks,2,"""Coffee is the second-most traded commodity after oil.""",Pants on Fire!,55
834,Raul Labrador,1,"""Nobody dies because they don’t have access to health care.""",Pants on Fire!,60
856,Rex Tillerson,1,"""China account(s) for 90 percent of North Korean trade.""",True,56
883,Ron Kind,1,"""We're experiencing a net outflow of illegal, undocumented workers from America back to Mexico.""",True,96
893,Allen Andrews,1,"""Missouri is actually the only state that has been forced to borrow money from the federal government to pay for unemployment benefits during each of the last five economic downturns.""",True,184
897,Edward  Markey,1,"""Trump looking to open up E Coast & new areas for offshore oil drilling when Congress has passed no new safety standards since BP""",True,130
898,RealNewsRightNow.com,1,"""Trump on revamping the military: We’re bringing back the draft.""",Pants on Fire!,65
900,Wawa  Welcome America,1,"""The Wawa Welcome America festival (features) . . . America's largest free concert.""",Pants on Fire!,84
915,Now8News.com,1,"""United Airlines flight attendant slaps crying baby during flight.""",Pants on Fire!,67
946,Bruce Kraus,1,"""Data shows that vehicle break-in is the No. 1 crime in the city, but also the No. 1 crime in the South Side Flats, and it’s closely followed by assault.""",False,154
948,Joseph  Crowley,1,"""More than 20 million people are at risk of dying from starvation within 6 months in 4 nations.""",True,96
957,Erin Forrest,1,"""75 percent of the town boards in Wisconsin have no women on them at all.""",True,74
962,Randolph Bracy,1,"""There are no federal or state laws that say prosecutors must seek death sentences. And the United States Supreme Court has banned all state laws that make executions mandatory for murders.""",True,190
965,Volusia County Republican Party,1,"""The United States Department of Education has introduced an Islamic indoctrination program for the public schools, called ‘Access Islam.’ """,False,140
966,Brian Sims,2,"""Finally, I will continue to fight against Republicans like Martina White, who like Trump, wants to deport all of our hard working immigrant brothers and sisters and white wash America.""",Pants on Fire!,186
972,Ted Yoho,2,"""Afghanistan has more hectares (of opium poppies) planted today than they had before we started this war.""",True,106
981,EmpireSports.co,1,"""Colorado Rockies baseball team to sell marijuana brownies at their concession stands.""",Pants on Fire!,87
993,Scott Wagner,1,"""...the earth moves closer to the sun every year – you know the rotation of the earth. We’re moving closer to the sun.""",False,119
997,Ted Yoho,2,"""It’s been proven over and over again Medicaid has the worst outcomes in the industrialized world as far as the quality of health care.""",False,136
1008,Jim Kenney,3,"""Immigrants are responsible for 96 percent of our small biz growth since 2000.""",False,79
1014,Ax The Bev Tax,1,"""We offer a tremendous amount of low calorie, no calorie options, like waters, unsweetened products, low calorie diet items. All of which unfortunately are taxed by this tax.""",Pants on Fire!,175
1015,Carolyn Maloney,1,"""More than half of Planned Parenthood facilities are in rural or medically underserved areas.""",True,94
1020,Habitat for Humanity of Broward,1,"""South Florida ranks No. 1 in the gap between wages and housing.""",True,65
1038,Jack Kingston,2,"""I remember years ago looking at a CBO report that in 1964 predicted that Medicare would cost $9 billion 10 years later. And I think it was already over $100 billion at that point.""",False,181
1044,The Coalition for Public Schools,1,"""Texas legislators have filed voucher proposals in every legislative session since 1995, but all of them have failed to become law.""",True,132
1046,Hannah Willard,1,"""Experts estimate that 40 percent of gun sales occur in no-questions-asked transactions that often take place at gun shows or on the Internet.""",False,143
1068,Tom Price,1,"""The number of individuals who actually got coverage through the exchange who didn't have coverage before, or who weren't eligible for Medicaid before is relatively small. So we've turned things upside down completely for 3 million, or 4 million, or 5 million individuals.""",False,273
1084,Raj Shah,1,"""Most U.S. foreign assistance ... is given to U.S. companies and nonprofits in the form of contracts and grants.""",True,113
1092,UndergroundNewsReport.com,1,"""Man pardoned by Obama three months ago arrested for murder.""",Pants on Fire!,61
1098,Sean Ryan,1,"""Just last year, over 5,000 refugees came to New York state, and 94 percent settled outside of New York City.""",True,110
1099,TheSeattleTribune.com,2,"""Trump’s Android device believed to be source of recent White House leaks.""",Pants on Fire!,75
1134,Sean Duffy,1,"""Abortion providers like Planned Parenthood do little other than provide abortions.""",Pants on Fire!,84
1135,Richard Durbin,3,"""You can almost pinpoint half of the gun violence deaths to two or three specific sections in the city. They are just areas of devastation, economically and otherwise.""",True,168
1141,Bono,1,"""For every extra year a girl goes to school, her income goes up 12 percent.""",True,76
1158,Dan Forest,1,"""If Governor Cooper's proposed bill for repealing HB2 becomes law, it will create a state-sanctioned 'Look But Don't Touch' policy in our bathrooms.""",Pants on Fire!,149
1176,TheSeattleTribune.com,2,"""Idaho mother sentenced to prison after multiple citations for breastfeeding in public.""",Pants on Fire!,88
1178,Stephen  Miller,1,"""This issue of busing voters in to New Hampshire is widely known by anyone who’s worked in New Hampshire politics. It’s very real, it’s very serious.""",Pants on Fire!,150
1183,Dawn Buckingham,1,"""Hundreds of illegal immigrants subject to detainers were released in the last week since the new sanctuary policy was adopted by the Travis County Sheriff's Office.""",False,166
1213,Mitch McConnell,3,"""Not a single Democrat opposed Neil Gorsuch's confirmation in 2006.""",True,68
1215,Kellyanne Conway,3,"""Two Iraqis came here to this country, were radicalized and they were the masterminds behind the Bowling Green massacre. … It didn't get covered""",False,145
1218,Kellyanne Conway,3,"""This is longest that the nation has gone without a secretary of the Treasury, at least in modern times. If it's not the longest, it's darn close to it.""",False,153
1219,Keith Ellison,2,"""About three-quarters of (Syrian refugees) are women and children. A full third of them are kids under 12 years old.""",True,117
1239,Kellyanne Conway,3,"""Here's the fact: The No. 1 source of income into Mexico are Mexicans working here and sending the money back.""",False,111
1257,Sean Spicer,3,"""There's one (study) that came out of Pew in 2008 that showed 14 percent of people who voted were noncitizens.""",False,111
1268,Sean Spicer,3,"""That was the largest audience to witness an inauguration, period.""",Pants on Fire!,67
1269,Edward Cox,1,"""The exodus of citizens from New York State has been growing.""",True,62
1274,Jason  Keller,1,"""Businesses are leaving Illinois. I think, statistically, that can be proven to be false through the Bureau of Labor Statistics. No net businesses left Illinois.""",False,162
1278,Mark Pocan,3,"""In the last decade, 73% of new jobs (in Wisconsin) have come from Madison.""",False,76
1280,Betsy DeVos,1,"""I would imagine that there's probably a gun in the school (in Wapiti, Wyo.) to protect from potential grizzlies.""",False,114
1283,Mike Fortner,1,"""House Bill 6627 also requires the applicant to attest to their eligibility to vote, as is required by the National Voter Registration Act and used by all other states that have (automatic voter registration).""",True,210
1286,Luke Messer,1,"""By funding the authorization that’s already happened a decade ago (in the Secure Fence Act of 2006), we could start the process of meeting Mr. Trump’s campaign pledge to secure the border.""",True,190
1294,Keith Ellison,2,"""House GOP rules package bars CBO from counting spikes in deficit spending spurred by an ACA repeal.""",False,101
1297,Robert Astorino,1,"""I have never once raised the county tax levy -- not for seven straight years.""",True,79
1319,Nicholas Langworthy,1,"""Donald Trump performed better than any presidential nominee since Gerald Ford.""",False,80
1322,USA Snich,2,"""Pope Francis To Followers: 'Koran And Holy Bible Are The Same' """,Pants on Fire!,65
1324,TheNewYorkEvening.com,1,"""Donald Trump dead from a fatal heart attack!""",Pants on Fire!,46
1325,Travis Allen,1,"""Beginning on Jan. 1, prostitution by minors will be legal in California.""",Pants on Fire!,74
1328,UniversePolitics.com,1,"""Electoral College elector commits suicide to avoid voting for Donald Trump.""",Pants on Fire!,77
1329,BuzzFeedUSA.com,1,"""Breaking: Crew of Air Force One Refuses to Fly Obama 6000 miles ‘Just to Play Golf’ """,Pants on Fire!,86
1333,Jeff Brandes,2,"""Unlike California, we in Florida welcome driverless cars - no permit required.""",True,80
1335,NewsExaminer.net,1,"""Secret Service Agent Says Obama Is Muslim & Gay In New Tell-All Book""",Pants on Fire!,70
1339,Today News 24,1,"""Pennsylvania Federal Court grants legal authority to remove Trump after Russian Meddling.""",Pants on Fire!,91
1340,Tdtalliance.com,1,"""Obama orders ban on Christmas cards to military.""",Pants on Fire!,50
1344,If You Only News,1,"""Emboldened by election, Texas Republicans kill Medicaid funding for kids with disabilities.""",Pants on Fire!,93
1345,USA Snich,2,"""Putin Interference Could Give Courts Legal Right to Make Hillary President.""",False,77
1346,Politicono.com,2,"""Sarah Palin Calls To Boycott Mall Of America Because ‘Santa Was Always White In The Bible.’""",Pants on Fire!,93
1349,"Ron Castorina, Jr.",1,"""It is more difficult to obtain a Costco membership than it is to get a NYC Municipal ID""",Pants on Fire!,89
1350,Politicono.com,2,"""Pence: ‘Michelle Obama Is The Most Vulgar First Lady We’ve Ever Had’""",Pants on Fire!,70
1352,ThatViralFeed.net,1,"""Pro-Lifers Declare 'Ejaculation Is Murder: Every Sperm Cell Is A Life.'""",False,73
1353,Doug Pederson,1,"""Your chances of throwing it are actually a little bit better in that situation.""",False,81
1354,David Menchetti,1,"""The causation standard in Indiana is exactly the same as it is in Illinois.""",True,77
1358,John Podesta,1,"""On Oct. 7, the Access Hollywood tape comes out. One hour later, WikiLeaks starts dropping my emails.""",True,102
1364,Bipartisan Report,1,"""Florida Moves For FULL RECOUNT Of State Over Massive Voter Fraud""",False,66
1366,Realtime Politics,1,"""Democrats Filing TREASON Charges Against Trump, McConnell, Giuliani, & Comey.""",False,79
1368,Freedom Daily,1,"""Obama-Led U.N. Has Just Made It Official, U.S. To Immediately Pay Blacks 'Reparations'.""",Pants on Fire!,89
1371,New Century Times,1,"""Republicans Looking To Cut Social Security As Much As 50 percent Immediately.""",False,79
1385,Winning Democrats,1,"""Trump’s Health Secretary Pick Wants a Medicare Phaseout by Summer 2017.""",False,73
1407,Jill Stein,2,"""Wisconsin uses voting machines that are outlawed, they are illegal.""",Pants on Fire!,69
1414,Don Beyer,3,"""We have trade agreements with 20 countries, and we have trade surpluses with each one of those 20.""",False,100
1446,Louis Marinelli,1,"""Two years ago, the longest serving leader of the California republic, Jerry Brown, boldly declared in China that California is a separate nation.""",Pants on Fire!,147
1452,John Kerry,3,"""Surveys show that many of our citizens think we devote a full quarter or even a third of our federal budget to foreign aid.""",True,125
1459,Kai Degner,1,"""The Declaration of Independence was written on paper made out of hemp.""",False,72
1468,Chris Sununu,1,"""The Democrats are very sly. … (in New Hampshire) we have same day voter registration, and to be honest, when Massachusetts elections are not very close, they’re busing them in all over the place.""",Pants on Fire!,197
1471,Citizens to Protect Transportation Funding,1,"""We can fix our roads without raising taxes.""",False,45
1473,Mark Assini,1,"""The photonics bill that was sponsored in Congress and written, was written by Congressman Tom Reed, not Congresswoman Louise Slaughter.""",False,137
1479,Conservative Daily Post,1,"""FBI confirms evidence of huge underground Clinton sex network.""",Pants on Fire!,64
1487,Todd Starnes,1,"""Students at the University of Texas in Austin have been advised not to wear cowboy boots or cowboy hats on Halloween.""",False,119
1491,Consumers for Smart Solar,1,"""Amendment 1 protects Florida seniors from scams and rip-offs.""",False,63
1534,DCCC,1,"""When Trump wanted to turn a taxpayer-owned building into an $800 a night hotel, (Congressman Jeff Denham, R-CA) helped broker the deal and bragged about it.""",False,158
1551,John Rafferty,1,"""Recently though, the media has reported on thousands of illegal voters here in the commonwealth.""",Pants on Fire!,98
1573,Jill Stein,2,"""We’re already bombing seven countries.""",True,40
1586,Progress Texas,1,"""Donald Trump's education plan to dramatically slash funding for public education would fire 49,000 Texas teachers.""",Pants on Fire!,116
1601,Colorado Citizens for Accountable Government,1,"""When Rachel Zenzinger was on the Arvada City Council, she voted to spend taxpayer funds for a junket to China.""",Pants on Fire!,112
1621,Patrick Murphy,2,"""Marco Rubio made it clear: Not only does he think Donald Trump is a con man, he went on to say he doesn't trust Donald Trump with the nuclear codes.""",True,150
1634,Chris Jacobs,1,"""After how hard you work and how much you pay in taxes, New York City ends up getting the money. I'm Chris Jacobs. I think it's time we have someone in Albany that's making sure our region gets our fair share""",False,209
1642,Katherine  Cloonen,1,"""Lindsay Parkhurst wants to take away programs like Social Security and Medicare that seniors have earned throughout their lifetimes.""",Pants on Fire!,134
1643,William Ruto,1,"""Cancer and matters to do with kidney failure kill more people in Kenya today than malaria, tuberculosis and AIDS combined.""",False,124
1676,Loretta Sanchez,2,"""If you give guns to gangs, you can get out of jail free, if (California’s Proposition 57) passes. If you do a drive-by shooting, you can get out of jail free, if Proposition 57 passes. If you discharge guns on a school yard, you can get out of jail free.""",False,256
1693,NARAL Pro-Choice America,3,"""Toomey and Trump will ban abortion and punish women who have them.""",False,68
1725,María Teresa  Kumar,1,"""Undocumented immigrants pay $12 billion of taxes every single year.""",True,69
1727,Basil Seggos,1,"""No fracking waste is being dumped in New York State""",False,53
1774,Daily Caller,2,"""Former President Bill Clinton and his Clinton Health Access Initiative (CHAI) distributed ‘watered-down’ HIV/AIDS drugs to patients in sub-Saharan Africa.""",False,156
1788,John Taylor,2,"""In Harrisburg, I passed more bills than all the Democrats combined, in terms of legislation affecting the city.""",True,113
1801,Charley Wilkison,1,"""Texas has lost the most law enforcement officers in the line of duty of any state in America.""",True,95
1818,John  Fleming,1,"""The head of the IRS ordered 24,000 emails erased before Congress could review them, making sure the American people will never know the real truth.""",False,149
1852,SEIU Healthcare Illinois & Indiana,1,"""In an interview with the Chicago Tribune's Editorial Board, Comptroller Leslie Munger says that in order to balance a budget, the state would have to 'cut social services completely.'""",False,185
1857,U.S. Chamber of Commerce,2,"""As governor, Ted Strickland left only 89 cents in Ohio’s rainy day fund.""",True,74
1885,James Woods,2,"""The Dallas Cowboys can’t put a sticker on their helmets for the 5 police officers who were killed.""",True,100
1888,National Republican Senatorial Committee,2,"""And while (Ted) Strickland proposed cuts for services for children, he wasted over $250,000 remodeling his bathrooms at the governor’s mansion.""",Pants on Fire!,145
1907,Gary Johnson,2,"""None of the polls being conducted right now have us on the top line. None of them. It's always Trump and Clinton and then second question, third question. ... If we were included in the top line, as Johnson/Trump/Clinton, we'd be at 20 percent.""",False,246
1953,John Burton,1,"""While introducing Donald Trump, former New York City Mayor Rudy Giuliani omitted the September 11, 2001, strikes as a ‘successful’ terrorist attack during the eight years before President Obama’s 2008 election.""",True,212
1958,Julián Castro,2,"""Today California is kicking our butt, creating more jobs and more economic growth than Texas.""",True,95
1975,Ruben Hinojosa,1,"""50% of Hispanic students count on Pell Grants to pay for college.""",True,67
1993,Yes On 62  campaign to abolish California's death penalty,1,"""California is home to the largest death row population in the Western Hemisphere.""",True,83
2025,Josh Earnest,1,"""The mosquito population in South Florida is larger than it is in many other communities in the country.""",True,105
2034,Richard Durbin,3,"""Illinois suffered 1,652 overdose deaths in 2014 ... of which 40 percent were associated with heroin. Illinois is ranked number one in the nation for a decline in treatment capacity between 2007 and 2012, and is now ranked the third worst in the country for state-funded treatment capacity.""",True,291
2042,Katrina Pierson,1,"""It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khan’s) life.""",Pants on Fire!,132
2061,Jeannette Vaught,1,"""Only five Texas counties account for almost 90 percent of the (state’s) cattle industry.""",False,90
2078,Catherine Cortez Masto,1,"""Just on the issue of immigration alone, it is next to impossible to find a policy difference between (Donald) Trump and Congressman (Joe) Heck.""",False,145
