veracity,statement,light_normalization
False,"""The Travis County propositions will not raise your taxes! If you are 65 or older, your property taxes are frozen.""","""the travis county propositions will not raise your taxes! if you are 65 or older, your property taxes are frozen."""
False,"""The KKK was founded as the military arm of the Democratic Party.""","""the kkk was founded as the military arm of the democratic party."""
True,"""One in 10 babies born in this country is born in Texas.""","""one in 10 babies born in this country is born in texas."""
False,"""Under his leadership, Tallahassee reduced its carbon intensity by roughly 40 percent.""","""under his leadership, tallahassee reduced its carbon intensity by roughly 40 percent."""
True,"""I personally am pro-choice. I always have been. And I made no qualms about that when I was elected governor.""","""i personally am pro-choice. i always have been. and i made no qualms about that when i was elected governor."""
False,"""Roy Moore fought for pay increases for politicians while courts had to shut down because of lack of funding.""","""roy moore fought for pay increases for politicians while courts had to shut down because of lack of funding."""
True,"""Ronald Reagan was a verified Democrat until his mid-50s.""","""ronald reagan was a verified democrat until his mid-50s."""
False,"""Mass voter fraud just discovered, to the amount that could void Hillary’s victory In New Hampshire.""","""mass voter fraud just discovered, to the amount that could void hillarys victory in new hampshire."""
False,"""Facts have come to light that indicate that a pivotal, close election was likely changed through voter fraud on November 8, 2016: New Hampshire’s U.S. Senate Seat, and perhaps also New Hampshire’s four Electoral College votes in the presidential election.""","""facts have come to light that indicate that a pivotal, close election was likely changed through voter fraud on november 8, 2016: new hampshires u.s. senate seat, and perhaps also new hampshires four electoral college votes in the presidential election."""
False,"""The Affordable Care Act is the single largest tax increase in my lifetime.""","""the affordable care act is the single largest tax increase in my lifetime."""
True,"""No court has held (Deferred Action for Childhood Arrivals) unconstitutional.""","""no court has held (deferred action for childhood arrivals) unconstitutional."""
False,"""It is shocking to me that Police Commissioner Richard Ross and Mayor Jim Kenney allowed this illegal occupation to go on for hours without taking any action to enforce the law…""","""it is shocking to me that police commissioner richard ross and mayor jim kenney allowed this illegal occupation to go on for hours without taking any action to enforce the law..."""
True,"""I think what the authors of the (25th) Amendment principally had in mind was some kind of physical incapacitation or serious mental illness or a breakdown, an inability to function in office.""","""i think what the authors of the (25th) amendment principally had in mind was some kind of physical incapacitation or serious mental illness or a breakdown, an inability to function in office."""
True,"""I'm the only candidate who has not accepted money from Carl Paladino nor LPCiminelli; two of the biggest developers in the city of Buffalo.""","""i'm the only candidate who has not accepted money from carl paladino nor lpciminelli; two of the biggest developers in the city of buffalo."""
False,"""Dwayne 'The Rock' (Johnson) Has Officially Filed For The 2020 Presidential Campaign""","""dwayne 'the rock' (johnson) has officially filed for the 2020 presidential campaign"""
True,"""It costs us about $33,000 a year (on average nationally) to lock somebody up. In California it costs about $75,000 a year.""","""it costs us about $33,000 a year (on average nationally) to lock somebody up. in california it costs about $75,000 a year."""
False,"""In light of the leak of my financial disclosure info which is a felony I will be contacting @FBI and the @TheJusticeDept""","""in light of the leak of my financial disclosure info which is a felony i will be contacting @fbi and the @thejusticedept"""
True,"""We have been able to cut New York’s uninsured rate in half since 2013 from 10 percent to 5 percent of our population.""","""we have been able to cut new yorks uninsured rate in half since 2013 from 10 percent to 5 percent of our population."""
False,"""More people, almost twice as many, pay the penalty or take the waiver than signed up for (Obamacare).""","""more people, almost twice as many, pay the penalty or take the waiver than signed up for (obamacare)."""
True,"""We now have about one-third of New York’s population on Medicaid.""","""we now have about one-third of new yorks population on medicaid."""
False,"""The last majority-Anglo high school class in Texas graduated in 2014.""","""the last majority-anglo high school class in texas graduated in 2014."""
True,"""I helped win one of the biggest private lawsuits against Medicare fraud in history. The government declined to pursue the case, so my firm did, and we recovered $324 million for taxpayers.""","""i helped win one of the biggest private lawsuits against medicare fraud in history. the government declined to pursue the case, so my firm did, and we recovered $324 million for taxpayers."""
False,"""There are so many data that demonstrate that poor people, surprisingly, are less likely to use drugs than people with means.""","""there are so many data that demonstrate that poor people, surprisingly, are less likely to use drugs than people with means."""
False,"""The president in no way, form or fashion has ever promoted or encouraged violence.""","""the president in no way, form or fashion has ever promoted or encouraged violence."""
True,"""Seven years later, (Scott Walker) has not hit his first campaign promise of creating 250,000 jobs.""","""seven years later, (scott walker) has not hit his first campaign promise of creating 250,000 jobs."""
False,"""A study by the National Economics Research Association showed that the (Paris climate) deal could cost 2.7 million lost jobs in the U.S. by 2025 should our country adhere to the commitments made by the Obama Administration.""","""a study by the national economics research association showed that the (paris climate) deal could cost 2.7 million lost jobs in the u.s. by 2025 should our country adhere to the commitments made by the obama administration."""
True,"""There are currently 6 million jobs available in this country that are due in part to the skills gap.""","""there are currently 6 million jobs available in this country that are due in part to the skills gap."""
True,"""How many federal rulings have NOW found intentional discrimination by #Txlege since 2011? 6.""","""how many federal rulings have now found intentional discrimination by #txlege since 2011? 6."""
False,"""The Earth is 6,000 years old, that’s a fact.""","""the earth is 6,000 years old, thats a fact."""
True,"""The waiting list for Pre-K is over in the House budget.""","""the waiting list for pre-k is over in the house budget."""
False,"""State economic development dollars were used to support a project where goods were manufactured in China.""","""state economic development dollars were used to support a project where goods were manufactured in china."""
True,"""Texas leads the country in animal deaths by sodium cyanide M-44s.""","""texas leads the country in animal deaths by sodium cyanide m-44s."""
True,"""Many of the countries in question (in Trump’s travel ban) don't even have a U.S. embassy there to help us vet.""","""many of the countries in question (in trumps travel ban) don't even have a u.s. embassy there to help us vet."""
False,"""Bay Area liberals have given more to Jon Ossoff's campaign than people in Georgia.""","""bay area liberals have given more to jon ossoff's campaign than people in georgia."""
False,"""Last year was one of the deadliest years ever for law enforcement officers.""","""last year was one of the deadliest years ever for law enforcement officers."""
True,"""Planned Parenthood is the biggest abortion provider in the country.""","""planned parenthood is the biggest abortion provider in the country."""
True,"""China account(s) for 90 percent of North Korean trade.""","""china account(s) for 90 percent of north korean trade."""
True,"""We're experiencing a net outflow of illegal, undocumented workers from America back to Mexico.""","""we're experiencing a net outflow of illegal, undocumented workers from america back to mexico."""
True,"""Missouri is actually the only state that has been forced to borrow money from the federal government to pay for unemployment benefits during each of the last five economic downturns.""","""missouri is actually the only state that has been forced to borrow money from the federal government to pay for unemployment benefits during each of the last five economic downturns."""
True,"""Trump looking to open up E Coast & new areas for offshore oil drilling when Congress has passed no new safety standards since BP""","""trump looking to open up e coast & new areas for offshore oil drilling when congress has passed no new safety standards since bp"""
False,"""Data shows that vehicle break-in is the No. 1 crime in the city, but also the No. 1 crime in the South Side Flats, and it’s closely followed by assault.""","""data shows that vehicle break-in is the no. 1 crime in the city, but also the no. 1 crime in the south side flats, and its closely followed by assault."""
True,"""More than 20 million people are at risk of dying from starvation within 6 months in 4 nations.""","""more than 20 million people are at risk of dying from starvation within 6 months in 4 nations."""
True,"""75 percent of the town boards in Wisconsin have no women on them at all.""","""75 percent of the town boards in wisconsin have no women on them at all."""
True,"""There are no federal or state laws that say prosecutors must seek death sentences. And the United States Supreme Court has banned all state laws that make executions mandatory for murders.""","""there are no federal or state laws that say prosecutors must seek death sentences. and the united states supreme court has banned all state laws that make executions mandatory for murders."""
False,"""The United States Department of Education has introduced an Islamic indoctrination program for the public schools, called ‘Access Islam.’ ""","""the united states department of education has introduced an islamic indoctrination program for the public schools, called access islam. """
True,"""Afghanistan has more hectares (of opium poppies) planted today than they had before we started this war.""","""afghanistan has more hectares (of opium poppies) planted today than they had before we started this war."""
False,"""...the earth moves closer to the sun every year – you know the rotation of the earth. We’re moving closer to the sun.""","""...the earth moves closer to the sun every year  you know the rotation of the earth. were moving closer to the sun."""
False,"""It’s been proven over and over again Medicaid has the worst outcomes in the industrialized world as far as the quality of health care.""","""its been proven over and over again medicaid has the worst outcomes in the industrialized world as far as the quality of health care."""
False,"""Immigrants are responsible for 96 percent of our small biz growth since 2000.""","""immigrants are responsible for 96 percent of our small biz growth since 2000."""
True,"""More than half of Planned Parenthood facilities are in rural or medically underserved areas.""","""more than half of planned parenthood facilities are in rural or medically underserved areas."""
True,"""South Florida ranks No. 1 in the gap between wages and housing.""","""south florida ranks no. 1 in the gap between wages and housing."""
False,"""I remember years ago looking at a CBO report that in 1964 predicted that Medicare would cost $9 billion 10 years later. And I think it was already over $100 billion at that point.""","""i remember years ago looking at a cbo report that in 1964 predicted that medicare would cost $9 billion 10 years later. and i think it was already over $100 billion at that point."""
True,"""Texas legislators have filed voucher proposals in every legislative session since 1995, but all of them have failed to become law.""","""texas legislators have filed voucher proposals in every legislative session since 1995, but all of them have failed to become law."""
False,"""Experts estimate that 40 percent of gun sales occur in no-questions-asked transactions that often take place at gun shows or on the Internet.""","""experts estimate that 40 percent of gun sales occur in no-questions-asked transactions that often take place at gun shows or on the internet."""
False,"""The number of individuals who actually got coverage through the exchange who didn't have coverage before, or who weren't eligible for Medicaid before is relatively small. So we've turned things upside down completely for 3 million, or 4 million, or 5 million individuals.""","""the number of individuals who actually got coverage through the exchange who didn't have coverage before, or who weren't eligible for medicaid before is relatively small. so we've turned things upside down completely for 3 million, or 4 million, or 5 million individuals."""
True,"""Most U.S. foreign assistance ... is given to U.S. companies and nonprofits in the form of contracts and grants.""","""most u.s. foreign assistance ... is given to u.s. companies and nonprofits in the form of contracts and grants."""
True,"""Just last year, over 5,000 refugees came to New York state, and 94 percent settled outside of New York City.""","""just last year, over 5,000 refugees came to new york state, and 94 percent settled outside of new york city."""
True,"""You can almost pinpoint half of the gun violence deaths to two or three specific sections in the city. They are just areas of devastation, economically and otherwise.""","""you can almost pinpoint half of the gun violence deaths to two or three specific sections in the city. they are just areas of devastation, economically and otherwise."""
True,"""For every extra year a girl goes to school, her income goes up 12 percent.""","""for every extra year a girl goes to school, her income goes up 12 percent."""
False,"""Hundreds of illegal immigrants subject to detainers were released in the last week since the new sanctuary policy was adopted by the Travis County Sheriff's Office.""","""hundreds of illegal immigrants subject to detainers were released in the last week since the new sanctuary policy was adopted by the travis county sheriff's office."""
True,"""Not a single Democrat opposed Neil Gorsuch's confirmation in 2006.""","""not a single democrat opposed neil gorsuch's confirmation in 2006."""
False,"""Two Iraqis came here to this country, were radicalized and they were the masterminds behind the Bowling Green massacre. … It didn't get covered""","""two iraqis came here to this country, were radicalized and they were the masterminds behind the bowling green massacre. ... it didn't get covered"""
False,"""This is longest that the nation has gone without a secretary of the Treasury, at least in modern times. If it's not the longest, it's darn close to it.""","""this is longest that the nation has gone without a secretary of the treasury, at least in modern times. if it's not the longest, it's darn close to it."""
True,"""About three-quarters of (Syrian refugees) are women and children. A full third of them are kids under 12 years old.""","""about three-quarters of (syrian refugees) are women and children. a full third of them are kids under 12 years old."""
False,"""Here's the fact: The No. 1 source of income into Mexico are Mexicans working here and sending the money back.""","""here's the fact: the no. 1 source of income into mexico are mexicans working here and sending the money back."""
False,"""There's one (study) that came out of Pew in 2008 that showed 14 percent of people who voted were noncitizens.""","""there's one (study) that came out of pew in 2008 that showed 14 percent of people who voted were noncitizens."""
True,"""The exodus of citizens from New York State has been growing.""","""the exodus of citizens from new york state has been growing."""
False,"""Businesses are leaving Illinois. I think, statistically, that can be proven to be false through the Bureau of Labor Statistics. No net businesses left Illinois.""","""businesses are leaving illinois. i think, statistically, that can be proven to be false through the bureau of labor statistics. no net businesses left illinois."""
False,"""In the last decade, 73% of new jobs (in Wisconsin) have come from Madison.""","""in the last decade, 73% of new jobs (in wisconsin) have come from madison."""
False,"""I would imagine that there's probably a gun in the school (in Wapiti, Wyo.) to protect from potential grizzlies.""","""i would imagine that there's probably a gun in the school (in wapiti, wyo.) to protect from potential grizzlies."""
True,"""House Bill 6627 also requires the applicant to attest to their eligibility to vote, as is required by the National Voter Registration Act and used by all other states that have (automatic voter registration).""","""house bill 6627 also requires the applicant to attest to their eligibility to vote, as is required by the national voter registration act and used by all other states that have (automatic voter registration)."""
True,"""By funding the authorization that’s already happened a decade ago (in the Secure Fence Act of 2006), we could start the process of meeting Mr. Trump’s campaign pledge to secure the border.""","""by funding the authorization thats already happened a decade ago (in the secure fence act of 2006), we could start the process of meeting mr. trumps campaign pledge to secure the border."""
False,"""House GOP rules package bars CBO from counting spikes in deficit spending spurred by an ACA repeal.""","""house gop rules package bars cbo from counting spikes in deficit spending spurred by an aca repeal."""
True,"""I have never once raised the county tax levy -- not for seven straight years.""","""i have never once raised the county tax levy -- not for seven straight years."""
False,"""Donald Trump performed better than any presidential nominee since Gerald Ford.""","""donald trump performed better than any presidential nominee since gerald ford."""
True,"""Unlike California, we in Florida welcome driverless cars - no permit required.""","""unlike california, we in florida welcome driverless cars - no permit required."""
False,"""Putin Interference Could Give Courts Legal Right to Make Hillary President.""","""putin interference could give courts legal right to make hillary president."""
False,"""Pro-Lifers Declare 'Ejaculation Is Murder: Every Sperm Cell Is A Life.'""","""pro-lifers declare 'ejaculation is murder: every sperm cell is a life.'"""
False,"""Your chances of throwing it are actually a little bit better in that situation.""","""your chances of throwing it are actually a little bit better in that situation."""
True,"""The causation standard in Indiana is exactly the same as it is in Illinois.""","""the causation standard in indiana is exactly the same as it is in illinois."""
True,"""On Oct. 7, the Access Hollywood tape comes out. One hour later, WikiLeaks starts dropping my emails.""","""on oct. 7, the access hollywood tape comes out. one hour later, wikileaks starts dropping my emails."""
False,"""Florida Moves For FULL RECOUNT Of State Over Massive Voter Fraud""","""florida moves for full recount of state over massive voter fraud"""
False,"""Democrats Filing TREASON Charges Against Trump, McConnell, Giuliani, & Comey.""","""democrats filing treason charges against trump, mcconnell, giuliani, & comey."""
False,"""Republicans Looking To Cut Social Security As Much As 50 percent Immediately.""","""republicans looking to cut social security as much as 50 percent immediately."""
False,"""Trump’s Health Secretary Pick Wants a Medicare Phaseout by Summer 2017.""","""trumps health secretary pick wants a medicare phaseout by summer 2017."""
False,"""We have trade agreements with 20 countries, and we have trade surpluses with each one of those 20.""","""we have trade agreements with 20 countries, and we have trade surpluses with each one of those 20."""
True,"""Surveys show that many of our citizens think we devote a full quarter or even a third of our federal budget to foreign aid.""","""surveys show that many of our citizens think we devote a full quarter or even a third of our federal budget to foreign aid."""
False,"""The Declaration of Independence was written on paper made out of hemp.""","""the declaration of independence was written on paper made out of hemp."""
False,"""We can fix our roads without raising taxes.""","""we can fix our roads without raising taxes."""
False,"""The photonics bill that was sponsored in Congress and written, was written by Congressman Tom Reed, not Congresswoman Louise Slaughter.""","""the photonics bill that was sponsored in congress and written, was written by congressman tom reed, not congresswoman louise slaughter."""
False,"""Students at the University of Texas in Austin have been advised not to wear cowboy boots or cowboy hats on Halloween.""","""students at the university of texas in austin have been advised not to wear cowboy boots or cowboy hats on halloween."""
False,"""Amendment 1 protects Florida seniors from scams and rip-offs.""","""amendment 1 protects florida seniors from scams and rip-offs."""
False,"""When Trump wanted to turn a taxpayer-owned building into an $800 a night hotel, (Congressman Jeff Denham, R-CA) helped broker the deal and bragged about it.""","""when trump wanted to turn a taxpayer-owned building into an $800 a night hotel, (congressman jeff denham, r-ca) helped broker the deal and bragged about it."""
True,"""We’re already bombing seven countries.""","""were already bombing seven countries."""
True,"""Marco Rubio made it clear: Not only does he think Donald Trump is a con man, he went on to say he doesn't trust Donald Trump with the nuclear codes.""","""marco rubio made it clear: not only does he think donald trump is a con man, he went on to say he doesn't trust donald trump with the nuclear codes."""
False,"""After how hard you work and how much you pay in taxes, New York City ends up getting the money. I'm Chris Jacobs. I think it's time we have someone in Albany that's making sure our region gets our fair share""","""after how hard you work and how much you pay in taxes, new york city ends up getting the money. i'm chris jacobs. i think it's time we have someone in albany that's making sure our region gets our fair share"""
False,"""Cancer and matters to do with kidney failure kill more people in Kenya today than malaria, tuberculosis and AIDS combined.""","""cancer and matters to do with kidney failure kill more people in kenya today than malaria, tuberculosis and aids combined."""
False,"""If you give guns to gangs, you can get out of jail free, if (California’s Proposition 57) passes. If you do a drive-by shooting, you can get out of jail free, if Proposition 57 passes. If you discharge guns on a school yard, you can get out of jail free.""","""if you give guns to gangs, you can get out of jail free, if (californias proposition 57) passes. if you do a drive-by shooting, you can get out of jail free, if proposition 57 passes. if you discharge guns on a school yard, you can get out of jail free."""
False,"""Toomey and Trump will ban abortion and punish women who have them.""","""toomey and trump will ban abortion and punish women who have them."""
True,"""Undocumented immigrants pay $12 billion of taxes every single year.""","""undocumented immigrants pay $12 billion of taxes every single year."""
False,"""No fracking waste is being dumped in New York State""","""no fracking waste is being dumped in new york state"""
False,"""Former President Bill Clinton and his Clinton Health Access Initiative (CHAI) distributed ‘watered-down’ HIV/AIDS drugs to patients in sub-Saharan Africa.""","""former president bill clinton and his clinton health access initiative (chai) distributed watered-down hiv/aids drugs to patients in sub-saharan africa."""
True,"""In Harrisburg, I passed more bills than all the Democrats combined, in terms of legislation affecting the city.""","""in harrisburg, i passed more bills than all the democrats combined, in terms of legislation affecting the city."""
True,"""Texas has lost the most law enforcement officers in the line of duty of any state in America.""","""texas has lost the most law enforcement officers in the line of duty of any state in america."""
False,"""The head of the IRS ordered 24,000 emails erased before Congress could review them, making sure the American people will never know the real truth.""","""the head of the irs ordered 24,000 emails erased before congress could review them, making sure the american people will never know the real truth."""
False,"""In an interview with the Chicago Tribune's Editorial Board, Comptroller Leslie Munger says that in order to balance a budget, the state would have to 'cut social services completely.'""","""in an interview with the chicago tribune's editorial board, comptroller leslie munger says that in order to balance a budget, the state would have to 'cut social services completely.'"""
True,"""As governor, Ted Strickland left only 89 cents in Ohio’s rainy day fund.""","""as governor, ted strickland left only 89 cents in ohios rainy day fund."""
True,"""The Dallas Cowboys can’t put a sticker on their helmets for the 5 police officers who were killed.""","""the dallas cowboys cant put a sticker on their helmets for the 5 police officers who were killed."""
False,"""None of the polls being conducted right now have us on the top line. None of them. It's always Trump and Clinton and then second question, third question. ... If we were included in the top line, as Johnson/Trump/Clinton, we'd be at 20 percent.""","""none of the polls being conducted right now have us on the top line. none of them. it's always trump and clinton and then second question, third question. ... if we were included in the top line, as johnson/trump/clinton, we'd be at 20 percent."""
True,"""While introducing Donald Trump, former New York City Mayor Rudy Giuliani omitted the September 11, 2001, strikes as a ‘successful’ terrorist attack during the eight years before President Obama’s 2008 election.""","""while introducing donald trump, former new york city mayor rudy giuliani omitted the september 11, 2001, strikes as a successful terrorist attack during the eight years before president obamas 2008 election."""
True,"""Today California is kicking our butt, creating more jobs and more economic growth than Texas.""","""today california is kicking our butt, creating more jobs and more economic growth than texas."""
True,"""50% of Hispanic students count on Pell Grants to pay for college.""","""50% of hispanic students count on pell grants to pay for college."""
True,"""California is home to the largest death row population in the Western Hemisphere.""","""california is home to the largest death row population in the western hemisphere."""
True,"""The mosquito population in South Florida is larger than it is in many other communities in the country.""","""the mosquito population in south florida is larger than it is in many other communities in the country."""
True,"""Illinois suffered 1,652 overdose deaths in 2014 ... of which 40 percent were associated with heroin. Illinois is ranked number one in the nation for a decline in treatment capacity between 2007 and 2012, and is now ranked the third worst in the country for state-funded treatment capacity.""","""illinois suffered 1,652 overdose deaths in 2014 ... of which 40 percent were associated with heroin. illinois is ranked number one in the nation for a decline in treatment capacity between 2007 and 2012, and is now ranked the third worst in the country for state-funded treatment capacity."""
False,"""Only five Texas counties account for almost 90 percent of the (state’s) cattle industry.""","""only five texas counties account for almost 90 percent of the (states) cattle industry."""
False,"""Just on the issue of immigration alone, it is next to impossible to find a policy difference between (Donald) Trump and Congressman (Joe) Heck.""","""just on the issue of immigration alone, it is next to impossible to find a policy difference between (donald) trump and congressman (joe) heck."""
True,"""Ninety percent of Americans want our background check system strengthened and expanded to cover more gun sales.""","""ninety percent of americans want our background check system strengthened and expanded to cover more gun sales."""
False,"""The Clinton camp was the first to get it out there and try to say there was something untoward about the speech that Melania Trump gave.""","""the clinton camp was the first to get it out there and try to say there was something untoward about the speech that melania trump gave."""
True,"""There are at least twice as many licensed firearm dealers in California as there are McDonald’s.""","""there are at least twice as many licensed firearm dealers in california as there are mcdonalds."""
False,"""There are about 350,000 people who succeed in crossing our borders illegally each year.""","""there are about 350,000 people who succeed in crossing our borders illegally each year."""
True,"""Over the last six years, the state of Illinois spent about $320 million on illegal immigrants.""","""over the last six years, the state of illinois spent about $320 million on illegal immigrants."""
True,"""More people now die in Wisconsin from drug overdoses than car crashes.""","""more people now die in wisconsin from drug overdoses than car crashes."""
True,"""If you are a member of  union, your median weekly income is roughly $200 more than if you are a nonunion member, and that doesn’t include benefits.""","""if you are a member of  union, your median weekly income is roughly $200 more than if you are a nonunion member, and that doesnt include benefits."""
False,"""Doctors kill about 250,000 people a year in botched surgeries.""","""doctors kill about 250,000 people a year in botched surgeries."""
True,"""The LGBT community is more often the victims of hate crimes than any other recognized group.""","""the lgbt community is more often the victims of hate crimes than any other recognized group."""
True,"""Swaziland has the highest rate of HIV infection in the world.""","""swaziland has the highest rate of hiv infection in the world."""
False,"""On average, each U.S. military working dog saves the lives of between 150 and 200 servicemen and women over the span of his career.""","""on average, each u.s. military working dog saves the lives of between 150 and 200 servicemen and women over the span of his career."""
False,"""More businesses went out of business last year than were started for the first time in our history.""","""more businesses went out of business last year than were started for the first time in our history."""
True,"""The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.""","""the chicago bears have had more starting quarterbacks in the last 10 years than the total number of tenured (uw) faculty fired during the last two decades."""
False,"""Texas is one of only a handful of states that does not have an equal pay law.""","""texas is one of only a handful of states that does not have an equal pay law."""
False,"""I can tell you that the enhanced interrogation techniques that have since been banned by this administration — specifically waterboarding — work.""","""i can tell you that the enhanced interrogation techniques that have since been banned by this administration  specifically waterboarding  work."""
True,"""You can import as many hemp products into this country as you want...but we can’t grow it.""","""you can import as many hemp products into this country as you want...but we cant grow it."""
False,"""I have had to fill out FEC reports for the past six years now, and they’re much more detailed than a tax return...""","""i have had to fill out fec reports for the past six years now, and theyre much more detailed than a tax return..."""
True,"""The United States has a low voter turnout rate.""","""the united states has a low voter turnout rate."""
True,"""Austin is number one in Texas in startups, venture capital and patents.""","""austin is number one in texas in startups, venture capital and patents."""
False,"""There is a 34 percent increase in violent crime in the state of California. … And that’s just within the last year.""","""there is a 34 percent increase in violent crime in the state of california. ... and thats just within the last year."""
False,"""We have been focusing so much, especially the Texas Department of Transportation, on that 97 percent of people in single-occupancy vehicles.""","""we have been focusing so much, especially the texas department of transportation, on that 97 percent of people in single-occupancy vehicles."""
True,"""Closing the tobacco loophole would save Missouri taxpayers $50,000,000""","""closing the tobacco loophole would save missouri taxpayers $50,000,000"""
True,"""In two years, Gov. McAuliffe has vetoed more bills that the previous three governors issued in each of their four-year terms.""","""in two years, gov. mcauliffe has vetoed more bills that the previous three governors issued in each of their four-year terms."""
True,"""Pat Toomey advocated for eliminating all corporate taxes.""","""pat toomey advocated for eliminating all corporate taxes."""
False,"""Dolphins are rapists. Look it up.""","""dolphins are rapists. look it up."""
False,"""Steve Santarsiero wrote PA’s Gun Safety Law.""","""steve santarsiero wrote pas gun safety law."""
False,"""The chairman of the party of Florida, who is an avid and outward supporter of Marco Rubio, gets to appoint 30 of those delegates.""","""the chairman of the party of florida, who is an avid and outward supporter of marco rubio, gets to appoint 30 of those delegates."""
False,"""Every bit of plastic that has ever been created still exists.""","""every bit of plastic that has ever been created still exists."""
False,"""The Katy Freeway, or Interstate 10 west of Houston, is the widest freeway in the world, with up to 26 lanes, including frontage road lanes.""","""the katy freeway, or interstate 10 west of houston, is the widest freeway in the world, with up to 26 lanes, including frontage road lanes."""
False,"""Hedge fund managers and others in private equity pay much lower (tax) rates on their income than do truck drivers and teachers and nurses.""","""hedge fund managers and others in private equity pay much lower (tax) rates on their income than do truck drivers and teachers and nurses."""
False,"""Many just call him 'Lyin' Ted.' ... His TV ad about John Kasich? Lie! Stations had to pull it off the air.""","""many just call him 'lyin' ted.' ... his tv ad about john kasich? lie! stations had to pull it off the air."""
False,"""Millionaires working side by side with George Soros are bankrolling (John Kasich’s) super PAC.""","""millionaires working side by side with george soros are bankrolling (john kasichs) super pac."""
True,"""Big soda has a lot of money. They make a lot of profit off their product and they market in neighborhoods that suffer from these very things that we’re trying to cure.""","""big soda has a lot of money. they make a lot of profit off their product and they market in neighborhoods that suffer from these very things that were trying to cure."""
